ace_diff,df_diff,bpFaced_diff,SvGms_diff,1stServe%_diff,1stServePWon%_diff,2ndServePWon%_diff,BreakPWon%_diff,rank_diff,rank_points_diff,age_diff,outcome
3.0,-8.0,-2.0,-1.0,-0.1703794369645043,0.08079169370538608,0.01785714285714285,-0.11538461538461536,-34.0,802.0,1.9110198494000024,yes
17.0,-5.0,3.0,0.0,0.0740905057675244,0.1808695652173914,0.2252747252747253,0.5714285714285714,38.0,-249.0,7.2744695413999985,yes
-5.0,3.0,-3.0,0.0,-0.018506278916060825,0.09185185185185185,0.02857142857142858,0.2142857142857143,68.0,-2978.0,-16.887063655000002,yes
-1.0,-2.0,5.0,0.0,0.0835769734852303,-0.09681159420289853,-0.014024390243902396,0.059523809523809534,-12.0,115.0,-5.295003422299999,yes
7.0,-2.0,-3.0,1.0,0.018181818181818188,0.10050505050505043,0.11818181818181814,0.2714285714285714,-3.0,31.0,-3.4524298425999973,yes
-2.0,-1.0,-9.0,0.0,0.08658568105453601,0.10297482837528604,0.16190476190476188,0.5,-62.0,552.0,5.702943189600003,yes
3.0,-1.0,1.0,0.0,0.11348069738480693,-0.1120107962213226,0.06641366223908918,0.2077922077922078,-20.0,871.0,5.0376454482999975,yes
-4.0,-5.0,4.0,1.0,0.00013910140492423562,0.21985233798195236,-0.08612440191387555,-0.06666666666666671,58.0,-229.0,-10.453114305299994,yes
0.0,0.0,5.0,0.0,0.09749909387459221,0.1455641688199828,-0.11538461538461536,0.43809523809523815,25.0,-197.0,-0.802190280600005,yes
-4.0,-5.0,10.0,1.0,0.02564102564102566,0.42874999999999996,0.0714285714285714,0.5,39.0,-450.0,1.5906913073999966,yes
-2.0,6.0,-4.0,-1.0,-0.18043785310734467,0.43034055727554177,0.1227586206896552,0.019607843137254832,25.0,-270.0,4.821355236199999,yes
3.0,2.0,-7.0,0.0,-0.07393939393939397,0.16176470588235292,0.1875,0.675,58.0,-380.0,6.8391512663,yes
6.0,-1.0,-3.0,0.0,-0.06634615384615383,0.11280148423005565,-0.09999999999999998,0.16666666666666663,9.0,-85.0,-1.0349075975999966,yes
0.0,-3.0,-2.0,0.0,-0.11793814432989691,0.1015325670498084,0.12820512820512814,-0.02083333333333337,-40.0,1663.0,4.3559206022999994,yes
0.0,1.0,-3.0,0.0,0.07996406109613652,0.17329545454545459,0.27380952380952384,0.5,-43.0,880.0,-2.1629021217999984,yes
-4.0,3.0,1.0,0.0,-0.008444619010212095,-0.00455927051671734,0.11172413793103447,0.55,-10.0,89.0,-7.526351813800002,yes
4.0,0.0,-4.0,1.0,0.11430030643513789,0.011198945981554687,0.04453870625662776,-0.09999999999999998,28.0,-232.0,-8.8076659822,yes
8.0,-8.0,-5.0,0.0,-0.01666666666666672,0.18902439024390238,0.1286549707602339,0.29166666666666663,106.0,-2145.0,-2.3134839150999973,yes
0.0,-2.0,-3.0,0.0,0.021739130434782705,0.00712250712250706,0.014035087719298234,0.4523809523809524,12.0,-1314.0,-1.5331964408000012,yes
-5.0,-2.0,-10.0,-1.0,0.1692307692307693,0.09290540540540537,-0.004201680672268893,0.5,-120.0,1877.0,5.5523613963,yes
1.0,-2.0,-5.0,-1.0,0.011924245966799196,0.08596491228070169,-0.1470588235294118,0.0,-3.0,500.0,0.6269678303000035,yes
0.0,1.0,-3.0,-1.0,-0.16167247386759587,0.39555555555555555,0.4375,0.5555555555555556,7.0,-509.0,-6.447638603700003,yes
1.0,-3.0,-5.0,1.0,0.10218702865761686,0.18466898954703836,0.0511363636363637,0.3,118.0,-1786.0,-7.4442162902,yes
1.0,2.0,-3.0,0.0,0.014444661331251218,0.03627450980392155,0.163558106169297,-0.010101010101010055,-18.0,1750.0,3.4551676934000035,yes
-5.0,-4.0,-8.0,0.0,0.17415975556525531,0.07894736842105254,0.18658536585365854,-0.75,-34.0,1965.0,-2.2888432580999982,yes
0.0,2.0,-7.0,1.0,0.014619883040935755,0.13235294117647056,0.021739130434782594,0.261904761904762,-148.0,1955.0,5.078713210100002,yes
4.0,-4.0,-9.0,0.0,-0.1212428662016487,0.1185897435897435,0.10226492793411124,0.04761904761904767,-23.0,1539.0,6.212183436000004,yes
1.0,0.0,-7.0,0.0,0.040505675954592424,0.07619047619047625,0.1222570532915361,-0.16666666666666669,1.0,-16.0,0.7446954140999971,yes
9.0,-1.0,-6.0,0.0,-0.04365079365079361,0.14078947368421046,0.04901960784313725,0.16666666666666663,128.0,-2501.0,2.0561259412000013,yes
-2.0,-3.0,-8.0,-1.0,0.0631436314363143,0.13297872340425532,0.06908344733242128,0.2613636363636363,-15.0,685.0,-1.4428473648000022,yes
0.0,0.0,-11.0,-1.0,0.07692307692307698,0.2621212121212121,-0.15238095238095245,0.13333333333333341,-30.0,2352.0,2.206707734400002,yes
0.0,-1.0,-6.0,-1.0,-0.06262626262626259,0.09607843137254907,0.1904761904761904,0.29166666666666663,-14.0,1225.0,-4.429842573600002,yes
1.0,3.0,-2.0,1.0,-0.1319163292847504,0.1489795918367347,0.08187134502923976,0.08333333333333326,44.0,-4075.0,7.3839835728999965,yes
